Vehicle Type,Total Shipments,Shipments Delivered,Route,MST Distance,Trip Time,Capacity Utilization,Time Utilization,COV_UTI (Distance Utilization)
3W,5,"672, 324, 1057, 644, 850",Shop -> 672 -> 324 -> 1057 -> 644 -> 850 -> Shop,13.34,116.71,1.0,0.49,0.89
3W,3,"747, 626, 247",Shop -> 747 -> 626 -> 247 -> Shop,12.35,91.73,0.6,0.38,0.82
3W,3,"207, 603, 1171",Shop -> 207 -> 603 -> 1171 -> Shop,14.96,104.79,0.6,0.44,1.0
3W,3,"528, 237, 1052",Shop -> 528 -> 237 -> 1052 -> Shop,14.91,104.56,0.6,0.44,0.99
3W,1,1237,Shop -> 1237 -> Shop,14.73,83.63,0.2,0.35,0.98
3W,1,91,Shop -> 91 -> Shop,14.77,83.86,0.2,0.35,0.98
3W,1,333,Shop -> 333 -> Shop,14.92,84.6,0.2,0.35,0.99
4W-EV,6,"1209, 1160, 571, 1082, 179, 508",Shop -> 1209 -> 1160 -> 571 -> 1082 -> 179 -> 508 -> Shop,19.73,158.66,0.75,0.53,0.99
4W-EV,8,"566, 1213, 730, 841, 1177, 884, 411, 138",Shop -> 566 -> 1213 -> 730 -> 841 -> 1177 -> 884 -> 411 -> 138 -> Shop,19.95,179.75,1.0,0.6,1.0
4W-EV,2,"947, 499",Shop -> 947 -> 499 -> Shop,19.37,116.87,0.25,0.39,0.97
4W-EV,2,"433, 340",Shop -> 433 -> 340 -> Shop,18.81,114.05,0.25,0.38,0.94
4W-EV,1,199,Shop -> 199 -> Shop,19.18,105.91,0.12,0.35,0.96
4W,25,"120, 912, 292, 1016, 1180, 495, 428, 387, 861, 976, 968, 604, 684, 53, 1099, 444, 986, 110, 419, 627, 705, 1012, 530, 646, 446",Shop -> 120 -> 912 -> 292 -> 1016 -> 1180 -> 495 -> 428 -> 387 -> 861 -> 976 -> 968 -> 604 -> 684 -> 53 -> 1099 -> 444 -> 986 -> 110 -> 419 -> 627 -> 705 -> 1012 -> 530 -> 646 -> 446 -> Shop,32.89,414.44,1.0,0.86,1.0
4W,25,"393, 318, 859, 1229, 1073, 406, 270, 1240, 1080, 939, 97, 401, 724, 1131, 1202, 778, 366, 1117, 806, 472, 1246, 72, 68, 875, 849",Shop -> 393 -> 318 -> 859 -> 1229 -> 1073 -> 406 -> 270 -> 1240 -> 1080 -> 939 -> 97 -> 401 -> 724 -> 1131 -> 1202 -> 778 -> 366 -> 1117 -> 806 -> 472 -> 1246 -> 72 -> 68 -> 875 -> 849 -> Shop,36.26,431.32,1.0,0.9,1.0
4W,15,"420, 232, 74, 4, 619, 590, 177, 1218, 107, 1189, 923, 531, 573, 1176, 70",Shop -> 420 -> 232 -> 74 -> 4 -> 619 -> 590 -> 177 -> 1218 -> 107 -> 1189 -> 923 -> 531 -> 573 -> 1176 -> 70 -> Shop,35.88,339.4,0.64,0.71,0.99
